Category,Subcategories
"Arts & Entertainment","Books & Literature, Celebrities & Entertainment News, Comics & Animation, Events & Listings, Fun & Trivia, Games, Humor, Movies, Music & Audio, Online Video, Performing Arts, TV & Video, Visual Art & Design"
"Autos & Vehicles","Bicycles & Accessories, Boats & Watercraft, Commercial Vehicles, Hybrid & Alternative Vehicles, Motorcycles, Off-Road Vehicles, Vehicle Parts & Accessories, Vehicle Shopping, Vehicle Shows"
"Beauty & Fitness","Body Art, Face & Body Care, Fashion & Style, Hair Care, Health & Fitness, Perfumes & Fragrances, Spas & Beauty Services, Weight Loss"
"Books & Literature","Audiobooks, Children's Literature, Comics & Graphic Novels, Poetry, Travel Books"
"Business & Industrial","Advertising & Marketing, Agriculture & Forestry, Biomedical, Business Operations, Business Services, Chemicals Industry, Construction & Maintenance, Energy & Utilities, Hospitality Industry, Industrial Materials, Logistics & Transportation, Manufacturing, Metals & Mining, Pharmaceuticals & Biotech, Printing & Publishing, Retail Trade, Small Business, Textiles & Nonwovens"
"Computers & Electronics","Computer Hardware, Computer Security, Consumer Electronics, Enterprise Technology, Networking, Programming, Software"
"Finance","Accounting & Auditing, Banking, Credit & Lending, Financial Planning & Management, Insurance, Investing, Tax & Compliance"
"Food & Drink","Alcoholic Beverages, Beverages, Cooking & Recipes, Food, Restaurants"
"Games","Board Games, Card Games, Computer & Video Games, Dice Games, Educational Games, Puzzles & Brainteasers, Roleplaying Games"
"Health","Aging & Geriatrics, Health Conditions, Healthcare Services, Medical Devices & Equipment, Mental Health, Nutrition, Pharmacy, Public Health, Reproductive Health, Vision Care"
"Hobbies & Leisure","Crafts, Outdoors, Pets, Radio Control & Modeling, Special Occasions, Tobacco Products"
"Home & Garden","Bed & Bath, Home Appliances, Home Furnishings, Home Improvement, Home Safety & Security, Indoor Environmental Quality, Kitchen & Dining, Laundry, Lawn & Garden, Nursery & Playroom, Pest Control"
"Internet & Telecom","Email & Messaging, Mobile & Wireless, Search Engines, Service Providers, Telecom, Web Services"
"Jobs & Education","Education, Jobs"
"Law & Government","Government, Immigration, Legal Services, Military, Policy & Issues, Public Safety"
"News","Business News, Health News, Politics, Science News, Sports News, Technology News, Weather"
"Online Communities","Dating & Personals, File Sharing & Hosting, Photo & Video Sharing, Social Networks"
"People & Society","Children & Family, Disabled & Special Needs, Ethnicity & Culture, Family & Relationships, Gender & Sexuality, Kids & Teens, Seniors, Social Issues"
"Pets & Animals","Animal Products & Services, Birds, Cats, Dogs, Fish & Aquaria, Horses, Reptiles & Amphibians, Wildlife"
"Real Estate","Apartments & Residential Rentals, Commercial Properties, Property Development, Real Estate Listings, Vacation Properties"
"Reference","Directories & Listings, Educational Resources, General Reference, Geographic Reference, Humanities, Language Resources, Legal Reference, Library & Museum, Scientific Reference, Standards & Regulations, Time & Calendars"
"Science","Astronomy, Biology, Chemistry, Earth Sciences, Ecology & Environment, Engineering & Technology, Mathematics, Physics, Scientific Equipment"
"Shopping","Apparel, Antiques & Collectibles, Auctions, Classifieds, Coupons & Discounts, Gifts, Luxury Goods, Mass Merchants & Department Stores, Party & Holiday Supplies"
"Sports","American Football, Athletics, Australian Football, Baseball, Basketball, Boxing, Cheerleading, Cricket, Cycling, Extreme Sports, Fantasy Sports, Golf, Gymnastics, Hockey, Motor Sports, Rugby, Soccer, Swimming, Tennis, Track & Field, Volleyball, Winter Sports, Wrestling"
"Travel","Adventure Travel, Air Travel, Bed & Breakfasts, Budget Travel, Business Travel, Car Rental, Carpooling, Cruises, Hotels & Accommodations, Luggage & Travel Accessories, Specialty Travel, Tourist Destinations, Vacation Packages"